system:time_start,p25,Median,IQR,Left date,Right date
"Aug 14, 2021",0.134,0.135,0.142,,
"Aug 23, 2021",0.139,0.141,0.144,,
"Sep 1, 2021",0.15,0.154,0.155,,
"Sep 10, 2021",0.137,0.142,0.145,,
"Sep 19, 2021",0.13,0.133,0.135,,
"Sep 28, 2021",0.129,0.134,0.14,,
"Oct 7, 2021",0.12,0.125,0.13,,
"Oct 16, 2021",0.134,0.134,0.137,,
"Oct 25, 2021",0.126,0.132,0.132,,
"Nov 3, 2021",0.132,0.14,0.15,,
"Nov 12, 2021",,,,,
"Nov 21, 2021",0.145,0.145,0.145,,
"Nov 30, 2021",0.138,0.138,0.139,,
"Dec 9, 2021",0.142,0.146,0.17,,
"Dec 18, 2021",0.139,0.141,0.145,,
"Dec 27, 2021",0.125,0.127,0.128,,
"Jan 5, 2022",0.142,0.142,0.142,,
"Jan 14, 2022",0.14,0.15,0.154,,
"Jan 23, 2022",0.154,0.154,0.154,,
"Feb 1, 2022",0.139,0.143,0.146,,
"Feb 10, 2022",0.15,0.157,0.158,,
"Feb 19, 2022",0.135,0.142,0.177,,
"Feb 28, 2022",0.164,0.17,0.179,,
"Mar 9, 2022",0.168,0.173,0.182,,
"Mar 18, 2022",0.155,0.156,0.157,,
"Mar 27, 2022",0.136,0.144,0.16,,
"Apr 5, 2022",0.16,0.16,0.164,,
"Apr 14, 2022",0.151,0.175,0.177,,
"Apr 23, 2022",0.166,0.179,0.192,,
"May 2, 2022",0.169,0.174,0.18,,
"May 11, 2022",0.155,0.157,0.159,,
"May 20, 2022",0.153,0.154,0.155,,
"May 29, 2022",,,,,
"Jun 7, 2022",0.141,0.142,0.143,,
"Jun 16, 2022",0.143,0.143,0.143,,
"Jun 25, 2022",0.141,0.145,0.147,,
"Jul 4, 2022",0.142,0.143,0.143,,
"Jul 13, 2022",0.144,0.149,0.15,,
"Jul 22, 2022",0.141,0.143,0.145,,
"Jul 31, 2022",0.141,0.142,0.145,,
"Aug 9, 2022",0.145,0.148,0.15,,
"Aug 18, 2022",0.139,0.142,0.142,,
"Aug 27, 2022",0.135,0.136,0.139,,
"Sep 5, 2022",0.135,0.138,0.14,,
"Sep 14, 2022",0.138,0.141,0.146,,
"Sep 23, 2022",0.143,0.144,0.145,,
"Oct 2, 2022",0.131,0.137,0.137,,
"Oct 11, 2022",0.12,0.126,0.132,,
"Oct 20, 2022",0.114,0.115,0.118,,
"Oct 29, 2022",0.117,0.119,0.121,,
"Nov 7, 2022",0.131,0.141,0.15,,
"Nov 16, 2022",0.123,0.141,0.145,,
"Nov 25, 2022",0.129,0.138,0.143,,
"Dec 4, 2022",0.139,0.145,0.151,,
"Dec 13, 2022",0.146,0.146,0.146,,
"Dec 22, 2022",0.127,0.127,0.127,,
"Dec 31, 2022",,,,,
"Jan 9, 2023",0.15,0.15,0.151,,
"Jan 18, 2023",0.187,0.188,0.189,,
"Jan 27, 2023",0.14,0.145,0.164,,
"Feb 5, 2023",0.153,0.154,0.156,,
"Feb 14, 2023",0.117,0.131,0.133,,
"Feb 23, 2023",0.156,0.156,0.156,,
"Mar 4, 2023",0.167,0.173,0.176,,
"Mar 13, 2023",0.157,0.17,0.174,,
"Mar 22, 2023",0.15,0.15,0.15,,
"Mar 31, 2023",0.152,0.166,0.182,,
"Apr 9, 2023",0.158,0.159,0.16,,
"Apr 18, 2023",0.176,0.179,0.182,,
"Apr 27, 2023",0.148,0.155,0.163,,
"May 6, 2023",0.16,0.16,0.16,,
"May 15, 2023",0.172,0.174,0.176,,
"May 24, 2023",0.151,0.153,0.156,,
"Jun 2, 2023",0.149,0.15,0.152,,
"Jun 11, 2023",0.153,0.153,0.161,,
"Jun 20, 2023",0.148,0.149,0.152,,
"Jun 29, 2023",0.139,0.14,0.142,,
"Jul 8, 2023",0.139,0.141,0.145,,
"Jul 17, 2023",0.134,0.135,0.14,,
"Jul 26, 2023",0.141,0.148,0.15,,
"Aug 4, 2023",0.146,0.146,0.15,,
"Aug 13, 2023",0.133,0.133,0.135,,
"Aug 22, 2023",0.129,0.13,0.131,,
"Aug 31, 2023",0.138,0.139,0.14,,
"Sep 9, 2023",0.124,0.125,0.126,,
"Sep 18, 2023",0.127,0.127,0.127,,
"Sep 27, 2023",0.123,0.123,0.126,,
"Oct 6, 2023",0.118,0.125,0.126,,
"Oct 15, 2023",,,,,
"Oct 24, 2023",0.126,0.127,0.127,,
"Nov 2, 2023",0.133,0.142,0.163,,
"Nov 11, 2023",0.135,0.148,0.157,,
"Nov 20, 2023",0.124,0.129,0.141,,
"Nov 29, 2023",0.132,0.135,0.138,,
"Dec 8, 2023",0.125,0.133,0.136,,
"Dec 17, 2023",0.114,0.118,0.139,,
"Dec 26, 2023",0.111,0.112,0.114,,
"Jan 4, 2024",0.144,0.144,0.144,,
"Jan 13, 2024",0.144,0.148,0.155,,
"Jan 22, 2024",0.148,0.164,0.169,,
"Jan 31, 2024",0.152,0.154,0.16,,
"Feb 9, 2024",0.163,0.163,0.163,,
"Feb 18, 2024",0.144,0.144,0.144,,
"Feb 27, 2024",0.195,0.195,0.195,,
"Mar 7, 2024",0.188,0.188,0.188,,
"Mar 16, 2024",0.163,0.163,0.163,,
"Mar 25, 2024",0.163,0.166,0.177,,
"Apr 3, 2024",0.158,0.169,0.2,,
"Apr 12, 2024",0.152,0.159,0.166,,
